"ComplicationID","ComplicationName","CreatedBy","CreatedDatetime","UpdatedBy","UpdatedDatetime","IsDeleted"
"1","Stroke","1","2019-11-04 10:12:29.303852+00","1","2019-11-04 10:12:29.303852+00",False
"2","Hypertension Urgency/ Emergency","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"3","Diabetic ketoacidosis (DKA)","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"4","Hypoglycemia","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"5","Ischemic Heart Disease","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"6","Heart Failure","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"7","Kidney Failure/ Kidney Disease","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"8","Peripheral Neuropathy (Neuropathy)","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"9","Peripheral Vascular/ Artery disease","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"10","Visual Impairment/ Eye Complications","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"11","Diabetic Retinopathy","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"12","Diabetic Foot/ Foot Ulcers/ Foot Complications","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"13","Limb Amputation","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"14","Erectile Dysfunction","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"15","Skin Complications","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"16","Gastroparesis","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
"17","Other (specify)","1","2019-11-04 10:20:19.345678+00","1","2019-11-04 10:20:19.345678+00",False
