FacilityContactID,FacilityID,CreatedBy,CreatedDatetime,UpdatedBy,UpdatedDatetime,PhoneNumber,IsDeleted
104,104,101,2018-01-16 14:18:57.348031+05:30,101,2018-01-16 14:18:57.348031+05:30,1111111111,f
105,105,101,2018-01-16 14:26:17.244832+05:30,101,2018-01-16 14:26:40.122077+05:30,2222222222,f
107,107,101,2018-01-16 14:35:10.403668+05:30,101,2018-01-16 14:35:10.403668+05:30,1111111111,f
109,109,101,2018-01-16 17:52:54.937738+05:30,101,2018-01-16 17:52:54.937738+05:30,3333333333,f
111,111,101,2018-01-17 20:36:15.190016+05:30,101,2018-01-17 20:36:15.190016+05:30,3333333333,f
112,112,101,2018-01-18 03:04:08.556712+05:30,101,2018-01-18 03:04:08.556712+05:30,0247775121,f
113,113,101,2018-01-18 10:38:26.846802+05:30,101,2018-01-18 10:38:26.846802+05:30,0719234245,f
114,114,101,2018-01-18 10:42:16.652147+05:30,101,2018-01-18 10:42:16.652147+05:30,0711781299,f
115,115,101,2018-01-18 10:45:48.562617+05:30,101,2018-01-18 10:45:48.562617+05:30,0718646933,f
116,116,101,2018-01-18 10:49:13.522974+05:30,101,2018-01-18 10:49:13.522974+05:30,0789678765,f
117,117,101,2018-01-18 10:50:23.080451+05:30,101,2018-01-18 10:50:23.080451+05:30,0718786756,f
118,118,101,2018-01-18 10:51:33.475418+05:30,101,2018-01-18 10:51:33.475418+05:30,0786798909,f
119,119,101,2018-01-18 10:53:31.434997+05:30,101,2018-01-18 10:53:31.434997+05:30,0723454323,f
142,142,101,2018-01-24 13:45:44.243363+05:30,101,2018-01-24 13:45:44.243363+05:30,1111111111,f
140,140,101,2018-01-24 13:30:51.269718+05:30,101,2018-01-24 14:15:48.500371+05:30,1111111112,t
106,106,101,2018-01-16 14:29:51.406202+05:30,101,2018-01-18 12:49:25.317071+05:30,3333333333,f
120,120,101,2018-01-18 12:42:35.533725+05:30,101,2018-01-18 12:52:14.602448+05:30,4354545564,f
123,123,101,2018-01-18 13:04:00.282315+05:30,101,2018-01-18 13:04:00.282315+05:30,1111111111,f
110,110,101,2018-01-17 15:52:28.744421+05:30,101,2018-01-18 13:04:46.644175+05:30,9035284887,f
144,144,101,2018-01-24 14:19:14.833889+05:30,101,2018-01-24 14:19:14.833889+05:30,546565464,f
154,154,205,2018-01-25 15:38:20.610284+05:30,101,2018-05-25 11:38:59.725408+05:30,8997789787,f
125,125,101,2018-01-18 14:22:09.75098+05:30,101,2018-01-18 14:23:16.897653+05:30,655676767,f
161,161,101,2018-05-24 14:27:32.975601+05:30,101,2018-05-24 15:24:47.857838+05:30,1234567895,f
162,162,101,2018-05-24 14:28:30.86522+05:30,101,2018-05-24 15:25:34.819451+05:30,6547893212,f
129,129,101,2018-01-22 17:56:56.696081+05:30,101,2018-01-22 17:57:30.835133+05:30,3434343434,f
163,163,101,2018-05-24 15:27:01.679325+05:30,101,2018-05-24 15:27:01.679325+05:30,4545454543,f
124,124,101,2018-01-18 13:30:22.017935+05:30,101,2018-01-24 15:05:42.883388+05:30,3333333333,f
127,127,101,2018-01-22 17:51:35.145881+05:30,101,2018-01-22 19:11:18.443612+05:30,8979989898,t
128,128,101,2018-01-22 17:53:52.294935+05:30,101,2018-01-22 18:56:44.602897+05:30,7899999999,t
164,164,101,2018-05-24 15:27:49.104577+05:30,101,2018-05-24 15:27:49.104577+05:30,3456784433,f
165,165,101,2018-05-24 15:29:50.553101+05:30,101,2018-05-24 15:29:50.553101+05:30,2589631478,f
133,133,101,2018-01-23 15:38:53.730648+05:30,101,2018-01-23 15:38:53.730648+05:30,1111111111,f
122,122,101,2018-01-18 13:03:10.90987+05:30,101,2018-01-23 15:39:35.797372+05:30,4354656577,f
108,108,101,2018-01-16 17:50:03.846171+05:30,101,2018-01-24 15:11:49.941453+05:30,2222222222,f
135,135,101,2018-01-23 17:55:22.990556+05:30,101,2018-01-23 17:55:22.990556+05:30,1111111111,f
136,136,101,2018-01-23 21:08:10.120332+05:30,101,2018-01-23 21:08:45.04843+05:30,1111111111,f
137,137,101,2018-01-23 21:09:53.465608+05:30,101,2018-01-23 21:11:28.9922+05:30,1111111111,f
134,134,101,2018-01-23 17:51:04.883033+05:30,101,2018-01-24 10:23:58.297084+05:30,1111111111,t
145,145,101,2018-01-24 15:30:12.17433+05:30,101,2018-01-24 15:30:12.17433+05:30,5454645475,f
146,146,101,2018-01-24 15:37:49.138213+05:30,101,2018-01-24 15:37:49.138213+05:30,5454654656,f
126,126,101,2018-01-19 16:18:39.362678+05:30,101,2018-01-24 13:02:19.742372+05:30,1111111111,t
148,148,101,2018-01-24 16:18:06.832345+05:30,101,2018-01-24 16:18:06.832345+05:30,4565465656,f
147,147,101,2018-01-24 16:15:20.213998+05:30,101,2018-01-24 16:24:36.296845+05:30,5465656575,t
149,149,101,2018-01-24 16:49:31.971005+05:30,101,2018-01-24 16:49:31.971005+05:30,4565465465,f
150,150,101,2018-01-24 17:08:17.010458+05:30,101,2018-01-24 17:08:17.010458+05:30,3453454545,f
139,139,101,2018-01-24 13:19:45.251987+05:30,101,2018-01-24 13:41:37.338084+05:30,1111111111,t
