RoleID,RoleName,RoleDescription,CreatedBy,CreatedDatetime,UpdatedBy,UpdatedDatetime
101,SysAdmin,SystemAdministrator,101,2016-12-22 11:28:39.378614+05:30,101,2016-12-22 11:28:39.378614+05:30
102,LocalAdmin,LocalAdministrator,101,2016-12-22 11:28:39.378614+05:30,101,2016-12-22 11:28:39.378614+05:30
104,Nurse,Nurse,101,2016-12-22 11:28:39.378614+05:30,101,2016-12-22 11:28:39.378614+05:30
106,BPChecker,Trained BP Checker,101,2016-12-22 11:28:39.378614+05:30,101,2016-12-22 11:28:39.378614+05:30
107,Medical/Physician Assistant,Medical/Physician Assistant,101,2016-12-22 11:28:39.378614+05:30,101,2016-12-22 11:28:39.378614+05:30
108,Medical/Clinical Officer,Medical/Clinical Officer,101,2016-12-22 11:28:39.378614+05:30,101,2016-12-22 11:28:39.378614+05:30
109,Specialist/Consultant,Specialist/Consultant,101,2016-12-22 11:28:39.378614+05:30,101,2016-12-22 11:28:39.378614+05:30
110,Red Risk Notification Contact,Red Risk Notification Contact,101,2017-04-05 15:43:26.565886+05:30,101,2017-04-05 15:43:26.565886+05:30
103,Physician,Doctor,101,2016-12-22 11:28:39.378614+05:30,101,2016-12-22 11:28:39.378614+05:30
105,Pharmacist,Pharmacist,101,2016-12-22 11:28:39.378614+05:30,101,2016-12-22 11:28:39.378614+05:30
111,Patient,Patient,101,2018-08-24 13:58:28.959775+05:30,101,2018-08-24 13:58:28.959775+05:30
